"PID","PPID","Name","Path","CommandLine","Owner","SHA256","CreationDate","WorkingSetMB","ThreadCount","HandleCount","Flags"
"2816","47116","conhost.exe","C:\WINDOWS\system32\conhost.exe","\??\C:\WINDOWS\system32\conhost.exe 0x4","NEBULA\Nebula","804C132AA005C2E90649AD2A9E5BC274B0CDFE07A45A17A6367F6D4FF85A64C7","4/12/2026 18:03:37","6.31","2","99",""
"39136","2096","dllhost.exe","C:\WINDOWS\system32\DllHost.exe","""C:\WINDOWS\system32\DllHost.exe"" /Processid:{5250E46F-BB09-D602-5891-F476DC89B700}","NEBULA\Nebula","14F8A7D177938B9EDDBE119BD730D12D32FCFBE33F828009EB1582D8190A34CD","4/12/2026 18:04:04","20.12","3","210",""
"46608","2096","dllhost.exe","C:\WINDOWS\system32\DllHost.exe","""C:\WINDOWS\system32\DllHost.exe"" /Processid:{E6950302-61F0-4FEB-97DB-855E30D4A991}","NEBULA\Nebula","14F8A7D177938B9EDDBE119BD730D12D32FCFBE33F828009EB1582D8190A34CD","4/12/2026 18:04:04","14.71","3","173",""
"44164","2096","dllhost.exe","C:\WINDOWS\system32\DllHost.exe","""C:\WINDOWS\system32\DllHost.exe"" /Processid:{CA6CC9F1-867A-481E-951E-A28C5E4F01EA}","NEBULA\Nebula","14F8A7D177938B9EDDBE119BD730D12D32FCFBE33F828009EB1582D8190A34CD","4/12/2026 18:04:04","20.98","4","225",""
"29964","2096","dllhost.exe","C:\WINDOWS\SysWOW64\DllHost.exe","""C:\WINDOWS\SysWOW64\DllHost.exe"" /Processid:{1C6DF0C0-192A-4451-BE36-6A59A86A692E}","NEBULA\Nebula","F13F9AD5D3CA8F14C968F17551B561A407E63880A476EFD3B88D915A265C2791","4/12/2026 18:04:04","12.13","2","189",""
"26036","2096","dllhost.exe","C:\WINDOWS\system32\DllHost.exe","""C:\WINDOWS\system32\DllHost.exe"" /Processid:{F544C724-92CF-41D5-85B7-65B02914E52D}","NEBULA\Nebula","14F8A7D177938B9EDDBE119BD730D12D32FCFBE33F828009EB1582D8190A34CD","4/12/2026 18:04:04","19.89","2","234",""
"2608","13736","powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" ","NEBULA\Nebula","0FF6F2C94BC7E2833A5F7E16DE1622E5DBA70396F31C7D5F56381870317E8C46","4/12/2026 18:08:49","57.74","9","548",""
"16948","2608","conhost.exe","C:\WINDOWS\system32\conhost.exe","\??\C:\WINDOWS\system32\conhost.exe 0x4","NEBULA\Nebula","804C132AA005C2E90649AD2A9E5BC274B0CDFE07A45A17A6367F6D4FF85A64C7","4/12/2026 18:08:49","9.27","2","136",""
"29044","2096","OpenConsole.exe","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\OpenConsole.exe","""C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\OpenConsole.exe"" -Embedding","NEBULA\Nebula","21A102BAC501CF77A381F5E707538188044BDB60F7ED8CD861A4DC17CDF1AD4D","4/12/2026 18:08:49","20.2","7","323",""
"45836","2096","WindowsTerminal.exe","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe","""C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\WindowsTerminal.exe"" -Embedding","NEBULA\Nebula","5BE86C25DA23D4C6F0042EF4CD836DECC1E1AF0E476724D6FC9270F3C5F6CB68","4/12/2026 18:08:49","182.45","419","2639",""
"42408","6908","vmware-vmx.exe",,,"NEBULA\Nebula","NO_PATH","4/12/2026 18:11:48","9632.23","17","693",""
"30712","31788","brave.exe","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe","""C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe"" --type=renderer --enable-distillability-service --origin-trial-public-key=bYUKPJoPnCxeNvu72j4EmPuK7tr1PAC7SHh8ld9Mw3E=,fMS4mpO6buLQ/QMd+zJmxzty/VQ6B1EUZqoCU04zoRU= --no-pre-read-main-dll --start-stack-profiler --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=99 --time-ticks-at-unix-epoch=-1776011608124319 --launch-time-ticks=21174605652 --metrics-shmem-handle=10204,i,15591862060770661697,10210443775055407177,2097152 --field-trial-handle=1876,i,1352008025627516379,520459169733221897,262144 --variations-seed-version=main@f302a28ab582480bd3f028035bc9568f1e46931a --pseudonymization-salt-handle=1880,i,7659466674756741429,17131394992920333802,4 --trace-process-track-uuid=3190709079079014545 --mojo-platform-channel-handle=8600 /prefetch:1","NEBULA\Nebula","AF43909889CDDF9EABF8577663C3B17125F256E17A38C6322297DDDB49E59F6E","4/12/2026 18:26:22","315.61","43","419",""
"21040","31788","brave.exe","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe","""C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe"" --type=renderer --enable-distillability-service --origin-trial-public-key=bYUKPJoPnCxeNvu72j4EmPuK7tr1PAC7SHh8ld9Mw3E=,fMS4mpO6buLQ/QMd+zJmxzty/VQ6B1EUZqoCU04zoRU= --no-pre-read-main-dll --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=101 --time-ticks-at-unix-epoch=-1776011608124319 --launch-time-ticks=21333507206 --metrics-shmem-handle=8560,i,12619771618196838361,4493264120571982962,2097152 --field-trial-handle=1876,i,1352008025627516379,520459169733221897,262144 --variations-seed-version=main@f302a28ab582480bd3f028035bc9568f1e46931a --pseudonymization-salt-handle=1880,i,7659466674756741429,17131394992920333802,4 --trace-process-track-uuid=3190709080953098243 --mojo-platform-channel-handle=9564 /prefetch:1","NEBULA\Nebula","AF43909889CDDF9EABF8577663C3B17125F256E17A38C6322297DDDB49E59F6E","4/12/2026 18:29:01","509.77","43","439",""
"50120","45836","OpenConsole.exe","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\OpenConsole.exe","""C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\OpenConsole.exe"" --headless --textMeasurement graphemes --width 120 --height 30 --signal 0xff4 --server 0x11d4","NEBULA\Nebula","21A102BAC501CF77A381F5E707538188044BDB60F7ED8CD861A4DC17CDF1AD4D","4/12/2026 18:31:38","14.02","5","195",""
"47040","45836","powershell.exe","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","NEBULA\Nebula","0FF6F2C94BC7E2833A5F7E16DE1622E5DBA70396F31C7D5F56381870317E8C46","4/12/2026 18:31:38","72.41","9","533",""
"47800","47040","python.exe","C:\Users\Nebula\AppData\Local\Programs\Python\Python312\python.exe","""C:\Users\Nebula\AppData\Local\Programs\Python\Python312\python.exe"" app.py","NEBULA\Nebula","CA60CF785B2314A6D6599ECED15BDF094E6DB171BEC996B97A70B995942C3C37","4/12/2026 18:33:57","36.96","1","200",""
"4188","45836","OpenConsole.exe","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\OpenConsole.exe","""C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.23.20211.0_x64__8wekyb3d8bbwe\OpenConsole.exe"" --headless --textMeasurement graphemes --width 120 --height 30 --signal 0x1554 --server 0x154c","NEBULA\Nebula","21A102BAC501CF77A381F5E707538188044BDB60F7ED8CD861A4DC17CDF1AD4D","4/12/2026 18:34:31","14.02","5","195",""
"26092","45836","powershell.exe","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","NEBULA\Nebula","0FF6F2C94BC7E2833A5F7E16DE1622E5DBA70396F31C7D5F56381870317E8C46","4/12/2026 18:34:31","72.38","9","533",""
"28864","26092","python.exe","C:\Users\Nebula\AppData\Local\Programs\Python\Python312\python.exe","""C:\Users\Nebula\AppData\Local\Programs\Python\Python312\python.exe"" app.py","NEBULA\Nebula","CA60CF785B2314A6D6599ECED15BDF094E6DB171BEC996B97A70B995942C3C37","4/12/2026 18:34:36","42.7","2","203",""
"48164","31788","brave.exe","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe","""C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe"" --type=renderer --enable-distillability-service --origin-trial-public-key=bYUKPJoPnCxeNvu72j4EmPuK7tr1PAC7SHh8ld9Mw3E=,fMS4mpO6buLQ/QMd+zJmxzty/VQ6B1EUZqoCU04zoRU= --no-pre-read-main-dll --video-capture-use-gpu-memory-buffer --lang=en-US --device-scale-factor=1 --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=103 --time-ticks-at-unix-epoch=-1776011608124319 --launch-time-ticks=21680314097 --metrics-shmem-handle=9668,i,1988430419031762428,8807388379124103390,2097152 --field-trial-handle=1876,i,1352008025627516379,520459169733221897,262144 --variations-seed-version=main@f302a28ab582480bd3f028035bc9568f1e46931a --pseudonymization-salt-handle=1880,i,7659466674756741429,17131394992920333802,4 --trace-process-track-uuid=3190709082827181941 --mojo-platform-channel-handle=10056 /prefetch:1","NEBULA\Nebula","AF43909889CDDF9EABF8577663C3B17125F256E17A38C6322297DDDB49E59F6E","4/12/2026 18:34:48","110.27","43","380",""
