"LocalAddress","LocalPort","RemoteAddress","RemotePort","State","PID","ProcessName","ProcessPath","CreationTime"
"192.168.1.17","50398","18.97.36.9","443","Established","18240","brave","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe","4/12/2026 19:12:41"
"192.168.1.17","50288","140.82.114.25","443","Established","18240","brave","C:\Program Files\BraveSoftware\Brave-Browser\Application\brave.exe","4/12/2026 19:22:06"
"127.0.0.1","49955","127.0.0.1","5010","TimeWait","0","Idle",,"12/31/1600 19:00:00"
"127.0.0.1","49717","127.0.0.1","9999","Established","14900","DiscWizardMonitor","C:\Program Files (x86)\Seagate\DiscWizard\DiscWizardMonitor.exe","4/12/2026 13:29:36"
"0.0.0.0","49703","0.0.0.0","0","Listen","1996","services",,"4/12/2026 12:33:45"
"127.0.0.1","49690","127.0.0.1","49689","Established","9000","updater",,"4/12/2026 12:33:44"
"127.0.0.1","49689","127.0.0.1","49690","Established","9000","updater",,"4/12/2026 12:33:44"
"127.0.0.1","49681","127.0.0.1","9772","Established","6660","aakore",,"4/12/2026 12:33:44"
"127.0.0.1","49676","127.0.0.1","9999","Established","9188","monitoring-mini",,"4/12/2026 12:33:44"
"127.0.0.1","49675","127.0.0.1","9999","Established","9188","monitoring-mini",,"4/12/2026 12:33:44"
"127.0.0.1","49674","127.0.0.1","52320","Established","9188","monitoring-mini",,"4/12/2026 16:59:47"
"127.0.0.1","49674","127.0.0.1","56279","Established","9188","monitoring-mini",,"4/12/2026 19:25:47"
"127.0.0.1","49674","0.0.0.0","0","Listen","9188","monitoring-mini",,"4/12/2026 12:33:44"
"127.0.0.1","49673","127.0.0.1","55707","Established","9096","task-manager",,"4/12/2026 12:50:29"
"127.0.0.1","49673","0.0.0.0","0","Listen","9096","task-manager",,"4/12/2026 12:33:44"
"0.0.0.0","49668","0.0.0.0","0","Listen","5288","spoolsv",,"4/12/2026 12:33:43"
"0.0.0.0","49667","0.0.0.0","0","Listen","3796","svchost",,"4/12/2026 12:33:43"
"0.0.0.0","49666","0.0.0.0","0","Listen","2908","svchost",,"4/12/2026 12:33:43"
"0.0.0.0","49665","0.0.0.0","0","Listen","1912","wininit",,"4/12/2026 12:33:43"
"0.0.0.0","49664","0.0.0.0","0","Listen","1284","lsass",,"4/12/2026 12:33:43"
"0.0.0.0","49605","0.0.0.0","0","Listen","39796","Spotify","C:\Program Files\WindowsApps\SpotifyAB.SpotifyMusic_1.286.502.0_x64__zpdnekdrzrea0\Spotify.exe","4/12/2026 12:34:40"
