"FullPath","Name","Extension","SizeKB","Created","Modified","Accessed","Directory","SuspiciousExt","Hidden"
"C:\Users\Nebula\Desktop\Sec-Projects\YaraForge\YaraForge\app.py","app.py",".py","9.54","4/12/2026 18:45:00","4/12/2026 18:45:00","4/12/2026 18:45:00","C:\Users\Nebula\Desktop\Sec-Projects\YaraForge\YaraForge","False","0"
"C:\Users\Nebula\AppData\Local\Temp\6d9a1b9e-c177-4d0a-b8f4-d8fc3636d124.tmp","6d9a1b9e-c177-4d0a-b8f4-d8fc3636d124.tmp",".tmp","0","4/12/2026 18:44:31","4/12/2026 18:44:31","4/12/2026 18:44:31","C:\Users\Nebula\AppData\Local\Temp","False","0"
"C:\Users\Nebula\AppData\Local\Temp\6d9a1b9e-c177-4d0a-b8f4-d8fc3636d124.tmp","6d9a1b9e-c177-4d0a-b8f4-d8fc3636d124.tmp",".tmp","0","4/12/2026 18:44:31","4/12/2026 18:44:31","4/12/2026 18:44:31","C:\Users\Nebula\AppData\Local\Temp","False","0"
"C:\Users\Nebula\AppData\Roaming\Claude\Network\TransportSecurity","TransportSecurity","","3.27","8/6/2025 22:07:48","4/12/2026 18:44:28","4/12/2026 18:44:28","C:\Users\Nebula\AppData\Roaming\Claude\Network","False","0"
"C:\Users\Nebula\AppData\Roaming\Claude\Network\Network Persistent State","Network Persistent State","","6.73","8/6/2025 22:05:35","4/12/2026 18:36:35","4/12/2026 18:36:35","C:\Users\Nebula\AppData\Roaming\Claude\Network","False","0"
"C:\Users\Nebula\Desktop\Sec-Projects\YaraForge\yaraforge.db","yaraforge.db",".db","24","4/12/2026 18:36:20","4/12/2026 18:36:20","4/12/2026 18:36:20","C:\Users\Nebula\Desktop\Sec-Projects\YaraForge","False","0"
"C:\Users\Nebula\Desktop\Sec-Projects\YaraForge\__pycache__\yara_engine.cpython-312.pyc","yara_engine.cpython-312.pyc",".pyc","13.48","4/12/2026 18:36:20","4/12/2026 18:36:20","4/12/2026 18:36:20","C:\Users\Nebula\Desktop\Sec-Projects\YaraForge\__pycache__","False","0"
"C:\Users\Nebula\Desktop\Sec-Projects\YaraForge\__pycache__\database.cpython-312.pyc","database.cpython-312.pyc",".pyc","12.78","4/12/2026 18:36:20","4/12/2026 18:36:20","4/12/2026 18:36:20","C:\Users\Nebula\Desktop\Sec-Projects\YaraForge\__pycache__","False","0"
"C:\Users\Nebula\AppData\Roaming\Claude\sentry\scope_v3.json","scope_v3.json",".json","13.11","8/6/2025 22:05:36","4/12/2026 18:34:57","4/12/2026 18:34:57","C:\Users\Nebula\AppData\Roaming\Claude\sentry","False","0"
"C:\Users\Nebula\AppData\Local\Temp\f993eaaf-530f-418c-b6e2-384e8474b2c4.tmp","f993eaaf-530f-418c-b6e2-384e8474b2c4.tmp",".tmp","0","4/12/2026 18:34:53","4/12/2026 18:34:53","4/12/2026 18:34:53","C:\Users\Nebula\AppData\Local\Temp","False","0"
