"DisplayName","Direction","Action","Profile","Description"
"Microsoft Sticky Notes","Inbound","Allow","Domain, Private","Microsoft Sticky Notes"
"Microsoft Sticky Notes","Outbound","Allow","Any","Microsoft Sticky Notes"
"Mixed Reality Portal","Outbound","Allow","Any","Mixed Reality Portal"
"Microsoft People","Outbound","Allow","Any","Microsoft People"
"Xbox TCUI","Outbound","Allow","Any","Xbox TCUI"
"Narrator","Outbound","Allow","Any","Narrator Home"
"Microsoft Teams","Inbound","Allow","Any","Microsoft Teams"
"Microsoft Teams","Inbound","Allow","Any","Microsoft Teams"
"Microsoft Teams (personal)","Inbound","Allow","Any","Microsoft Teams (personal)"
"Microsoft Teams (personal)","Inbound","Allow","Any","Microsoft Teams (personal)"
"Windows Print","Outbound","Allow","Any","Windows Print"
"@{MicrosoftWindows.LKG.TwinSxS_1000.26100.3912.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.TwinSxS/Resources/ProductPkgDisplayName}","Outbound","Allow","Any","@{MicrosoftWindows.LKG.TwinSxS_1000.26100.3912.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.LKG.TwinSxS/Resources/ProductPkgDisplayName}"
"@{MicrosoftWindows.55182690.Taskbar_1000.26100.3912.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.55182690.Taskbar/Resources/ProductPkgDisplayName}","Outbound","Allow","Any","@{MicrosoftWindows.55182690.Taskbar_1000.26100.3912.0_x64__cw5n1h2txyewy?ms-resource://MicrosoftWindows.55182690.Taskbar/Resources/ProductPkgDisplayName}"
"Xbox Game UI","Outbound","Allow","Any","Xbox Game UI"
"Take a Test","Outbound","Allow","Any","Take a Test"
"Print Queue","Outbound","Allow","Any","Print Queue"
"Windows Shell Experience","Outbound","Allow","Any","Windows Shell Experience"
"Microsoft Family Safety","Outbound","Allow","Any","Microsoft Family Safety"
"Microsoft Content","Outbound","Allow","Any","Microsoft Content"
"Your account","Inbound","Allow","Domain, Private","Your account"
"Your account","Outbound","Allow","Any","Your account"
"Windows Defender SmartScreen","Outbound","Allow","Any","Windows Defender SmartScreen"
"Desktop App Web Viewer","Inbound","Allow","Any","Desktop App Web Viewer"
"Desktop App Web Viewer","Outbound","Allow","Any","Desktop App Web Viewer"
"Email and accounts","Outbound","Allow","Any","Email and accounts"
"Work or school account","Inbound","Allow","Domain, Private","Work or school account"
"Work or school account","Outbound","Allow","Any","Work or school account"
"News","Outbound","Allow","Domain, Private, Public","News"
"Steam","Inbound","Allow","Domain, Private, Public",
"Steam","Inbound","Allow","Domain, Private, Public",
"Steam Web Helper","Inbound","Allow","Domain, Private, Public",
"Steam Web Helper","Inbound","Allow","Domain, Private, Public",
"3DMark","Inbound","Allow","Domain, Private, Public",
"3DMark","Inbound","Allow","Domain, Private, Public",
"Start","Outbound","Allow","Domain, Private, Public","Start"
"Start","Inbound","Allow","Domain, Private","Start"
"Windows Feature Experience Pack","Outbound","Allow","Domain, Private, Public","Windows Feature Experience Pack"
"Windows Feature Experience Pack","Outbound","Allow","Domain, Private, Public","Windows Feature Experience Pack"
"Windows Feature Experience Pack","Inbound","Allow","Domain, Private","Windows Feature Experience Pack"
"Toolkit","Inbound","Allow","Private","Toolkit"
"Toolkit","Inbound","Allow","Private","Toolkit"
"Seagate DiscWizard","Inbound","Allow","Any","Seagate DiscWizard"
"DiscWizardMonitor.exe","Inbound","Allow","Any","DiscWizardMonitor.exe"
"DiscWizardTools.exe","Inbound","Allow","Any","DiscWizardTools.exe"
"DiscWizardService.exe","Inbound","Allow","Any","DiscWizardService.exe"
"Seagate Media Builder","Inbound","Allow","Any","Seagate Media Builder"
"Seagate System Report","Inbound","Allow","Any","Seagate System Report"
"ga_service.exe","Inbound","Allow","Any","ga_service.exe"
"LicenseActivator.exe","Inbound","Allow","Any","LicenseActivator.exe"
"report_sender.exe","Inbound","Allow","Any","report_sender.exe"
"Seagate Alert Manager","Inbound","Allow","Any","Seagate Alert Manager"
"Seagate Task Manager","Inbound","Allow","Any","Seagate Task Manager"
"Seagate Agent Core Service","Inbound","Allow","Any","Seagate Agent Core Service"
